1.0	'kay
1.0	awesome
1.0	correct
1.0	excellent
1.0	fantastic
1.0	good
1.0	got it
1.0	great
1.0	mm-kay
1.0	nice
1.0	okay
1.0	magnificent
1.0	marvelous
1.0	perfect
1.0	precisely
1.0	splendid
1.0	spot on
1.0	stupendous
1.0	super
1.0	superb
1.0	that's it
1.0	that's the one
1.0	that's right
1.0	uh-huh
1.0	wonderful
1.0	yeah
1.0	yeh
1.0	yep
1.0	yes
1.0	you got it
-1.0	crap
-1.0	damn
-1.0	darn
-1.0	fuck
-1.0	incorrect
-1.0	no
-1.0	nope
-1.0	not that one
-1.0	oops
-1.0	shit
-1.0	sorry
-1.0	that's not it
-1.0	uh-oh
-1.0	way off
-1.0	wrong
